x,y,z
285, 436, 0
285, 440, 0
285, 442, 0
285, 446, 0
285, 449, 0
286, 82, 0
286, 84, 0
286, 88, 0
286, 91, 0
286, 176, 0
286, 383, 0
286, 434, 0
286, 436, 0
286, 439, 0
286, 441, 0
286, 445, 0
286, 449, 0
287, 82, 0
287, 85, 0
287, 88, 0
287, 92, 0
287, 172, 0
287, 175, 0
287, 382, 0
287, 385, 0
287, 437, 0
287, 441, 0
287, 444, 0
287, 448, 0
288, 83, 0
288, 86, 0
288, 92, 0
288, 173, 0
288, 175, 0
288, 177, 0
288, 434, 0
288, 437, 0
288, 440, 0
288, 443, 0
288, 448, 0
289, 83, 0
289, 86, 0
289, 176, 0
289, 384, 0
289, 436, 0
289, 438, 0
289, 441, 0
289, 446, 0
290, 75, 0
290, 78, 0
290, 81, 0
290, 84, 0
290, 174, 0
290, 176, 0
290, 178, 0
291, 75, 0
291, 78, 0
291, 83, 0
292, 75, 0
292, 79, 0
293, 74, 0
293, 77, 0
293, 80, 0
294, 74, 0
294, 77, 0
294, 79, 0
294, 219, 0
294, 222, 0
295, 75, 0
295, 78, 0
295, 222, 0
295, 280, 0
296, 75, 0
296, 78, 0
296, 223, 0
296, 235, 0
296, 279, 0
297, 74, 0
297, 78, 0
297, 221, 0
297, 223, 0
297, 225, 0
297, 228, 0
297, 233, 0
297, 281, 0
297, 376, 0
298, 74, 0
298, 76, 0
298, 78, 0
298, 221, 0
298, 225, 0
298, 235, 0
298, 281, 0
299, 74, 0
299, 76, 0
299, 79, 0
299, 221, 0
299, 224, 0
299, 236, 0
299, 280, 0
300, 76, 0
300, 78, 0
300, 224, 0
300, 234, 0
300, 238, 0
300, 242, 0
300, 282, 0
300, 376, 0
301, 76, 0
301, 78, 0
301, 222, 0
301, 224, 0
301, 234, 0
301, 243, 0
301, 283, 0
301, 377, 0
302, 76, 0
302, 78, 0
302, 222, 0
302, 225, 0
302, 236, 0
302, 240, 0
302, 243, 0
302, 283, 0
303, 74, 0
303, 79, 0
303, 224, 0
303, 234, 0
303, 238, 0
303, 242, 0
303, 377, 0
304, 74, 0
304, 79, 0
304, 234, 0
304, 238, 0
304, 243, 0
305, 76, 0
305, 80, 0
305, 224, 0
305, 242, 0
305, 244, 0
305, 284, 0
306, 82, 0
306, 243, 0
306, 284, 0
307, 82, 0
307, 243, 0
307, 245, 0
307, 285, 0
307, 324, 0
307, 377, 0
308, 82, 0
308, 225, 0
308, 242, 0
308, 244, 0
308, 326, 0
308, 376, 0
309, 83, 0
309, 245, 0
309, 284, 0
309, 326, 0
309, 328, 0
309, 377, 0
310, 82, 0
310, 225, 0
310, 242, 0
310, 246, 0
310, 284, 0
310, 325, 0
310, 328, 0
310, 377, 0
311, 82, 0
311, 242, 0
311, 245, 0
311, 285, 0
311, 327, 0
312, 83, 0
312, 225, 0
312, 243, 0
312, 246, 0
312, 287, 0
312, 327, 0
312, 376, 0
313, 82, 0
313, 243, 0
313, 247, 0
313, 286, 0
313, 288, 0
313, 327, 0
313, 372, 0
313, 375, 0
314, 82, 0
314, 225, 0
314, 243, 0
314, 246, 0
314, 248, 0
314, 285, 0
314, 288, 0
314, 328, 0
315, 83, 0
315, 243, 0
315, 246, 0
315, 249, 0
315, 287, 0
315, 290, 0
315, 329, 0
316, 82, 0
316, 84, 0
316, 247, 0
316, 250, 0
316, 286, 0
316, 289, 0
316, 327, 0
316, 330, 0
316, 334, 0
316, 358, 0
316, 361, 0
316, 363, 0
317, 84, 0
317, 242, 0
317, 245, 0
317, 248, 0
317, 251, 0
317, 289, 0
317, 291, 0
317, 325, 0
317, 328, 0
317, 331, 0
317, 333, 0
317, 336, 0
317, 338, 0
317, 345, 0
317, 347, 0
317, 349, 0
317, 351, 0
317, 357, 0
317, 361, 0
317, 363, 0
317, 367, 0
318, 83, 0
318, 225, 0
318, 242, 0
318, 245, 0
318, 252, 0
318, 260, 0
318, 285, 0
318, 288, 0
318, 290, 0
318, 295, 0
318, 299, 0
318, 325, 0
318, 329, 0
318, 331, 0
318, 334, 0
318, 338, 0
318, 347, 0
318, 349, 0
318, 352, 0
318, 356, 0
318, 358, 0
318, 360, 0
318, 365, 0
318, 368, 0
319, 83, 0
319, 247, 0
319, 249, 0
319, 253, 0
319, 256, 0
319, 259, 0
319, 285, 0
319, 287, 0
319, 289, 0
319, 293, 0
319, 295, 0
319, 300, 0
319, 324, 0
319, 326, 0
319, 330, 0
319, 332, 0
319, 335, 0
319, 337, 0
319, 339, 0
319, 341, 0
319, 343, 0
319, 347, 0
319, 353, 0
319, 355, 0
319, 358, 0
319, 361, 0
319, 365, 0
319, 368, 0
320, 82, 0
320, 225, 0
320, 242, 0
320, 247, 0
320, 250, 0
320, 253, 0
320, 258, 0
320, 261, 0
320, 284, 0
320, 286, 0
320, 291, 0
320, 294, 0
320, 297, 0
320, 300, 0
320, 303, 0
320, 328, 0
320, 333, 0
320, 336, 0
320, 341, 0
320, 344, 0
320, 348, 0
320, 350, 0
320, 354, 0
320, 357, 0
320, 359, 0
320, 361, 0
320, 369, 0
321, 82, 0
321, 210, 0
321, 223, 0
321, 245, 0
321, 251, 0
321, 254, 0
321, 257, 0
321, 259, 0
321, 261, 0
321, 264, 0
321, 267, 0
321, 269, 0
321, 271, 0
321, 274, 0
321, 284, 0
321, 286, 0
321, 289, 0
321, 293, 0
321, 295, 0
321, 299, 0
321, 302, 0
321, 307, 0
321, 309, 0
321, 311, 0
321, 314, 0
321, 324, 0
321, 327, 0
321, 330, 0
321, 334, 0
321, 340, 0
321, 345, 0
321, 348, 0
321, 350, 0
321, 356, 0
321, 360, 0
321, 364, 0
321, 367, 0
322, 82, 0
322, 224, 0
322, 229, 0
322, 232, 0
322, 238, 0
322, 240, 0
322, 244, 0
322, 247, 0
322, 276, 0
322, 316, 0
322, 357, 0
322, 361, 0
322, 365, 0
322, 373, 0
322, 379, 0
322, 385, 0
322, 389, 0
323, 82, 0
323, 225, 0
323, 227, 0
323, 230, 0
323, 234, 0
323, 238, 0
323, 240, 0
323, 245, 0
323, 249, 0
323, 274, 0
323, 277, 0
323, 315, 0
323, 317, 0
323, 354, 0
323, 359, 0
323, 367, 0
323, 383, 0
323, 386, 0
324, 82, 0
324, 218, 0
324, 226, 0
324, 230, 0
324, 234, 0
324, 236, 0
324, 238, 0
324, 240, 0
324, 245, 0
324, 248, 0
324, 275, 0
324, 278, 0
324, 318, 0
324, 356, 0
324, 361, 0
324, 374, 0
324, 383, 0
324, 391, 0
325, 82, 0
325, 219, 0
325, 226, 0
325, 228, 0
325, 233, 0
325, 238, 0
325, 240, 0
325, 249, 0
325, 274, 0
325, 279, 0
325, 314, 0
325, 316, 0
325, 319, 0
325, 357, 0
325, 361, 0
325, 367, 0
325, 371, 0
325, 381, 0
325, 384, 0
325, 388, 0
326, 82, 0
326, 228, 0
326, 231, 0
326, 238, 0
326, 240, 0
326, 247, 0
326, 275, 0
326, 278, 0
326, 280, 0
326, 315, 0
326, 318, 0
326, 320, 0
326, 354, 0
326, 362, 0
326, 372, 0
326, 378, 0
326, 381, 0
326, 388, 0
327, 83, 0
327, 229, 0
327, 233, 0
327, 241, 0
327, 247, 0
327, 249, 0
327, 275, 0
327, 278, 0
327, 280, 0
327, 314, 0
327, 317, 0
327, 320, 0
327, 357, 0
327, 362, 0
327, 366, 0
327, 370, 0
327, 386, 0
328, 83, 0
328, 234, 0
328, 238, 0
328, 241, 0
328, 274, 0
328, 279, 0
328, 315, 0
328, 318, 0
328, 354, 0
328, 357, 0
328, 384, 0
328, 389, 0
329, 83, 0
329, 238, 0
329, 240, 0
329, 246, 0
329, 248, 0
329, 274, 0
329, 276, 0
329, 281, 0
329, 314, 0
329, 316, 0
329, 320, 0
329, 356, 0
329, 384, 0
329, 388, 0
330, 83, 0
330, 232, 0
330, 235, 0
330, 237, 0
330, 240, 0
330, 247, 0
330, 258, 0
330, 263, 0
330, 339, 0
330, 343, 0
330, 347, 0
330, 350, 0
330, 354, 0
330, 356, 0
330, 388, 0
330, 398, 0
330, 400, 0
331, 83, 0
331, 232, 0
331, 234, 0
331, 240, 0
331, 246, 0
331, 260, 0
331, 265, 0
331, 338, 0
331, 343, 0
331, 346, 0
331, 348, 0
331, 352, 0
331, 354, 0
331, 356, 0
331, 388, 0
331, 396, 0
332, 83, 0
332, 232, 0
332, 234, 0
332, 239, 0
332, 248, 0
332, 258, 0
332, 261, 0
332, 338, 0
332, 342, 0
332, 347, 0
332, 351, 0
332, 399, 0
332, 401, 0
333, 83, 0
333, 238, 0
333, 248, 0
333, 258, 0
333, 262, 0
333, 340, 0
333, 345, 0
333, 351, 0
333, 398, 0
333, 401, 0
334, 83, 0
334, 235, 0
334, 238, 0
334, 259, 0
