x,y,z
216, 184, 0
216, 260, 0
216, 262, 0
216, 359, 0
216, 375, 0
216, 394, 0
216, 397, 0
217, 138, 0
217, 163, 0
217, 178, 0
217, 181, 0
217, 184, 0
217, 260, 0
217, 357, 0
217, 359, 0
217, 361, 0
217, 375, 0
217, 385, 0
217, 397, 0
218, 139, 0
218, 147, 0
218, 151, 0
218, 154, 0
218, 156, 0
218, 159, 0
218, 162, 0
218, 173, 0
218, 179, 0
218, 181, 0
218, 184, 0
218, 216, 0
218, 261, 0
218, 263, 0
218, 360, 0
218, 362, 0
218, 364, 0
218, 367, 0
218, 373, 0
218, 384, 0
218, 387, 0
218, 391, 0
218, 394, 0
218, 397, 0
218, 399, 0
219, 138, 0
219, 151, 0
219, 154, 0
219, 156, 0
219, 159, 0
219, 162, 0
219, 175, 0
219, 177, 0
219, 181, 0
219, 184, 0
219, 217, 0
219, 261, 0
219, 264, 0
219, 362, 0
219, 365, 0
219, 369, 0
219, 371, 0
219, 375, 0
219, 388, 0
219, 393, 0
219, 395, 0
219, 397, 0
219, 400, 0
220, 140, 0
220, 154, 0
220, 158, 0
220, 161, 0
220, 175, 0
220, 183, 0
220, 217, 0
220, 219, 0
220, 222, 0
220, 363, 0
220, 367, 0
220, 375, 0
220, 385, 0
220, 390, 0
220, 394, 0
220, 399, 0
221, 138, 0
221, 141, 0
221, 149, 0
221, 153, 0
221, 155, 0
221, 158, 0
221, 161, 0
221, 176, 0
221, 181, 0
221, 216, 0
221, 219, 0
221, 223, 0
221, 263, 0
221, 363, 0
221, 365, 0
221, 368, 0
221, 374, 0
221, 389, 0
221, 395, 0
221, 397, 0
221, 399, 0
222, 139, 0
222, 150, 0
222, 155, 0
222, 158, 0
222, 160, 0
222, 175, 0
222, 179, 0
222, 219, 0
222, 223, 0
222, 362, 0
222, 365, 0
222, 368, 0
222, 375, 0
222, 389, 0
222, 397, 0
222, 401, 0
223, 143, 0
223, 152, 0
223, 155, 0
223, 158, 0
223, 160, 0
223, 179, 0
223, 217, 0
223, 221, 0
223, 364, 0
223, 366, 0
224, 140, 0
224, 152, 0
224, 156, 0
224, 160, 0
224, 176, 0
224, 180, 0
224, 218, 0
224, 221, 0
224, 223, 0
224, 364, 0
224, 367, 0
225, 138, 0
225, 143, 0
225, 154, 0
225, 156, 0
225, 161, 0
225, 177, 0
225, 180, 0
225, 224, 0
225, 366, 0
226, 138, 0
226, 141, 0
226, 144, 0
226, 153, 0
226, 155, 0
226, 178, 0
226, 180, 0
226, 221, 0
226, 224, 0
227, 142, 0
227, 145, 0
227, 147, 0
227, 217, 0
227, 219, 0
227, 221, 0
227, 224, 0
228, 139, 0
228, 142, 0
228, 147, 0
228, 216, 0
228, 222, 0
228, 225, 0
229, 139, 0
229, 143, 0
229, 146, 0
229, 148, 0
229, 220, 0
229, 223, 0
230, 139, 0
230, 144, 0
230, 217, 0
230, 220, 0
230, 223, 0
230, 225, 0
231, 138, 0
231, 142, 0
231, 147, 0
231, 215, 0
231, 217, 0
231, 222, 0
231, 225, 0
232, 146, 0
232, 214, 0
232, 216, 0
232, 218, 0
232, 222, 0
232, 224, 0
233, 139, 0
233, 144, 0
233, 147, 0
233, 212, 0
233, 215, 0
233, 221, 0
233, 224, 0
234, 130, 0
234, 135, 0
234, 140, 0
234, 144, 0
234, 218, 0
234, 224, 0
235, 132, 0
235, 136, 0
235, 141, 0
235, 143, 0
235, 198, 0
235, 218, 0
235, 226, 0
236, 132, 0
236, 137, 0
236, 140, 0
236, 142, 0
236, 200, 0
236, 203, 0
236, 209, 0
236, 218, 0
236, 299, 0
237, 134, 0
237, 141, 0
237, 199, 0
237, 208, 0
237, 218, 0
238, 131, 0
238, 137, 0
238, 146, 0
238, 197, 0
238, 201, 0
238, 203, 0
238, 205, 0
238, 208, 0
238, 220, 0
238, 300, 0
239, 131, 0
239, 135, 0
239, 197, 0
239, 199, 0
239, 205, 0
239, 218, 0
239, 300, 0
240, 131, 0
240, 134, 0
240, 195, 0
240, 199, 0
240, 202, 0
240, 209, 0
240, 218, 0
240, 220, 0
240, 299, 0
241, 133, 0
241, 193, 0
241, 195, 0
241, 198, 0
241, 200, 0
241, 203, 0
241, 206, 0
241, 209, 0
241, 221, 0
241, 300, 0
242, 124, 0
242, 127, 0
242, 131, 0
242, 133, 0
242, 193, 0
242, 218, 0
242, 221, 0
242, 299, 0
243, 124, 0
243, 129, 0
243, 132, 0
243, 219, 0
243, 222, 0
243, 300, 0
244, 122, 0
244, 124, 0
244, 126, 0
244, 129, 0
244, 132, 0
244, 192, 0
244, 219, 0
244, 223, 0
244, 298, 0
244, 300, 0
245, 126, 0
245, 130, 0
245, 192, 0
245, 218, 0
245, 221, 0
245, 223, 0
245, 300, 0
246, 124, 0
246, 129, 0
246, 192, 0
246, 218, 0
246, 221, 0
246, 224, 0
246, 300, 0
247, 123, 0
247, 127, 0
247, 192, 0
247, 225, 0
247, 297, 0
247, 300, 0
248, 126, 0
248, 219, 0
248, 223, 0
248, 226, 0
248, 300, 0
249, 122, 0
249, 125, 0
249, 219, 0
249, 222, 0
249, 225, 0
249, 227, 0
249, 300, 0
250, 122, 0
250, 124, 0
250, 126, 0
250, 192, 0
250, 206, 0
250, 220, 0
250, 223, 0
250, 226, 0
250, 228, 0
250, 298, 0
250, 301, 0
251, 123, 0
251, 125, 0
251, 203, 0
251, 218, 0
251, 223, 0
251, 227, 0
251, 297, 0
251, 300, 0
251, 302, 0
