x,y,z
98, 243, 0
98, 246, 0
98, 249, 0
98, 253, 0
98, 255, 0
99, 243, 0
99, 249, 0
99, 251, 0
99, 256, 0
100, 248, 0
100, 252, 0
100, 254, 0
101, 242, 0
101, 247, 0
101, 254, 0
101, 256, 0
102, 244, 0
102, 250, 0
103, 243, 0
103, 249, 0
103, 256, 0
104, 243, 0
104, 246, 0
104, 248, 0
105, 243, 0
105, 245, 0
105, 257, 0
106, 234, 0
106, 241, 0
106, 256, 0
106, 261, 0
106, 264, 0
107, 235, 0
107, 238, 0
107, 259, 0
107, 264, 0
108, 235, 0
108, 241, 0
108, 257, 0
108, 259, 0
109, 239, 0
109, 263, 0
109, 265, 0
110, 236, 0
110, 258, 0
110, 263, 0
110, 265, 0
111, 234, 0
111, 239, 0
111, 261, 0
111, 263, 0
111, 265, 0
112, 235, 0
112, 237, 0
112, 261, 0
112, 263, 0
113, 235, 0
113, 237, 0
113, 261, 0
113, 263, 0
114, 226, 0
114, 230, 0
114, 236, 0
114, 261, 0
115, 227, 0
115, 233, 0
115, 235, 0
115, 261, 0
116, 228, 0
116, 232, 0
116, 261, 0
117, 226, 0
117, 229, 0
117, 231, 0
117, 261, 0
118, 226, 0
118, 231, 0
118, 261, 0
119, 228, 0
119, 231, 0
119, 261, 0
120, 228, 0
120, 231, 0
120, 261, 0
121, 226, 0
121, 230, 0
121, 261, 0
122, 215, 0
122, 219, 0
122, 222, 0
122, 229, 0
122, 263, 0
123, 219, 0
123, 225, 0
123, 227, 0
124, 217, 0
124, 222, 0
124, 224, 0
124, 227, 0
124, 261, 0
124, 263, 0
125, 210, 0
125, 216, 0
125, 221, 0
125, 224, 0
126, 210, 0
126, 218, 0
126, 221, 0
126, 260, 0
126, 262, 0
127, 213, 0
127, 220, 0
127, 260, 0
127, 262, 0
128, 213, 0
128, 215, 0
128, 260, 0
128, 262, 0
128, 264, 0
129, 210, 0
129, 215, 0
129, 262, 0
129, 264, 0
130, 180, 0
130, 186, 0
130, 191, 0
130, 194, 0
130, 200, 0
130, 215, 0
130, 346, 0
130, 355, 0
130, 363, 0
130, 377, 0
131, 179, 0
131, 182, 0
131, 191, 0
131, 195, 0
131, 198, 0
131, 214, 0
131, 348, 0
131, 358, 0
131, 361, 0
131, 368, 0
131, 372, 0
132, 179, 0
132, 181, 0
132, 347, 0
132, 362, 0
132, 365, 0
132, 368, 0
132, 371, 0
132, 375, 0
133, 178, 0
133, 181, 0
133, 346, 0
133, 355, 0
133, 362, 0
133, 364, 0
133, 370, 0
133, 377, 0
134, 180, 0
134, 239, 0
134, 350, 0
134, 369, 0
134, 373, 0
135, 178, 0
135, 180, 0
135, 237, 0
135, 240, 0
135, 346, 0
135, 350, 0
135, 354, 0
135, 374, 0
136, 179, 0
136, 231, 0
136, 235, 0
136, 239, 0
136, 346, 0
136, 352, 0
137, 179, 0
137, 240, 0
137, 351, 0
138, 170, 0
138, 173, 0
138, 179, 0
138, 231, 0
138, 234, 0
138, 236, 0
138, 241, 0
138, 263, 0
138, 298, 0
138, 303, 0
138, 307, 0
138, 310, 0
138, 312, 0
138, 314, 0
138, 317, 0
138, 323, 0
138, 326, 0
138, 328, 0
138, 331, 0
138, 334, 0
138, 337, 0
138, 346, 0
138, 348, 0
138, 380, 0
138, 383, 0
139, 170, 0
139, 173, 0
139, 176, 0
139, 230, 0
139, 233, 0
139, 236, 0
139, 241, 0
139, 260, 0
139, 263, 0
139, 265, 0
139, 299, 0
139, 302, 0
139, 306, 0
139, 329, 0
139, 335, 0
139, 338, 0
139, 376, 0
139, 380, 0
139, 383, 0
140, 172, 0
140, 175, 0
140, 178, 0
140, 229, 0
140, 231, 0
140, 234, 0
140, 236, 0
140, 239, 0
140, 241, 0
140, 261, 0
140, 263, 0
140, 299, 0
140, 302, 0
140, 305, 0
140, 333, 0
140, 335, 0
140, 381, 0
141, 171, 0
141, 178, 0
141, 229, 0
141, 236, 0
141, 238, 0
141, 241, 0
141, 262, 0
141, 264, 0
141, 299, 0
141, 302, 0
141, 304, 0
141, 331, 0
141, 333, 0
141, 378, 0
141, 384, 0
142, 171, 0
142, 177, 0
142, 228, 0
142, 232, 0
142, 238, 0
142, 242, 0
142, 262, 0
142, 264, 0
142, 299, 0
142, 302, 0
142, 304, 0
142, 331, 0
142, 381, 0
142, 383, 0
143, 171, 0
143, 174, 0
143, 176, 0
143, 224, 0
143, 226, 0
143, 228, 0
143, 231, 0
143, 233, 0
143, 235, 0
143, 238, 0
143, 243, 0
143, 248, 0
143, 252, 0
143, 265, 0
143, 299, 0
143, 302, 0
143, 304, 0
143, 381, 0
143, 383, 0
144, 173, 0
144, 176, 0
144, 224, 0
144, 227, 0
144, 230, 0
144, 235, 0
144, 243, 0
144, 252, 0
144, 261, 0
144, 263, 0
144, 299, 0
144, 304, 0
144, 383, 0
144, 385, 0
145, 173, 0
145, 176, 0
145, 228, 0
145, 231, 0
145, 235, 0
145, 237, 0
145, 240, 0
145, 244, 0
145, 246, 0
145, 248, 0
145, 251, 0
145, 264, 0
145, 300, 0
145, 303, 0
145, 381, 0
145, 383, 0
145, 385, 0
146, 171, 0
146, 176, 0
146, 225, 0
146, 250, 0
146, 262, 0
146, 265, 0
146, 300, 0
146, 302, 0
146, 304, 0
146, 382, 0
147, 174, 0
147, 177, 0
147, 225, 0
147, 254, 0
147, 263, 0
147, 300, 0
147, 304, 0
147, 382, 0
148, 170, 0
148, 174, 0
148, 177, 0
148, 223, 0
148, 225, 0
148, 251, 0
148, 254, 0
148, 263, 0
148, 265, 0
148, 298, 0
148, 304, 0
148, 385, 0
149, 170, 0
149, 172, 0
149, 176, 0
149, 224, 0
149, 250, 0
149, 254, 0
149, 261, 0
149, 264, 0
149, 302, 0
150, 170, 0
150, 172, 0
150, 176, 0
150, 252, 0
150, 255, 0
150, 260, 0
150, 263, 0
150, 298, 0
150, 304, 0
151, 170, 0
151, 174, 0
151, 177, 0
151, 250, 0
151, 253, 0
151, 258, 0
151, 260, 0
151, 265, 0
151, 304, 0
151, 385, 0
152, 170, 0
152, 174, 0
152, 178, 0
152, 251, 0
152, 257, 0
152, 259, 0
152, 262, 0
152, 265, 0
152, 298, 0
152, 300, 0
152, 304, 0
153, 172, 0
153, 175, 0
153, 177, 0
153, 179, 0
153, 251, 0
153, 254, 0
153, 257, 0
153, 261, 0
153, 264, 0
153, 300, 0
153, 302, 0
153, 385, 0
154, 175, 0
154, 179, 0
154, 299, 0
154, 301, 0
154, 303, 0
155, 177, 0
155, 299, 0
155, 303, 0
156, 171, 0
156, 174, 0
156, 177, 0
156, 299, 0
156, 301, 0
157, 171, 0
157, 174, 0
157, 176, 0
157, 299, 0
157, 301, 0
158, 174, 0
158, 176, 0
158, 224, 0
158, 298, 0
158, 300, 0
159, 173, 0
159, 175, 0
159, 225, 0
159, 298, 0
159, 300, 0
160, 170, 0
160, 172, 0
